Generator,Label,Image_Path,Caption_ID,Full_Text,Min_Prob,Avg_Prob,Word_Prob_Details
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030657.JPEG,1,snowy background with grey bird perched on a bare tree branch,0.0098,0.391,snowy(0.02) | background(0.05) | with(0.36) | grey(0.01) | bird(0.30) | perched(0.48) | on(1.00) | a(0.25) | bare(0.06) | tree(0.27) | branch(0.89) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030657.JPEG,2,flock of dark - eyed birds perched on a tree branch against brown background,0.0191,0.5437,flock(0.02) | of(0.95) | dark(0.21) | -(0.53) | eyed(1.00) | birds(0.63) | perched(0.46) | on(1.00) | a(0.36) | tree(0.17) | branch(0.88) | against(0.10) | brown(0.05) | background(0.80) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030657.JPEG,3,thick and thin dark - eyed bird perched on small branch on brown colored background,0.0135,0.441,thick(0.02) | and(0.04) | thin(0.54) | dark(0.08) | -(0.27) | eyed(0.84) | bird(1.00) | perched(0.50) | on(1.00) | small(0.04) | branch(0.64) | on(0.07) | brown(0.13) | colored(0.01) | background(0.87) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030657.JPEG,4,purple and white bird perched on a twig with brown background,0.0203,0.6002,purple(0.02) | and(0.72) | white(0.89) | bird(0.93) | perched(0.46) | on(1.00) | a(0.50) | t(0.10) | ##wig(1.00) | with(0.13) | brown(0.18) | background(0.86) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030657.JPEG,5,taken in winter scene of bird sitting on thin branch of tree,0.0192,0.4313,taken(0.02) | in(0.42) | winter(0.23) | scene(0.03) | of(0.73) | bird(0.16) | sitting(0.19) | on(1.00) | thin(0.04) | branch(0.75) | of(0.20) | tree(0.87) | [SEP](0.97)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030657.JPEG,6,##ng dark - eyed bird perched on branch with light background,0.0247,0.4913,##ng(0.02) | dark(0.18) | -(0.49) | eyed(0.93) | bird(0.96) | perched(0.48) | on(1.00) | branch(0.27) | with(0.31) | light(0.07) | background(0.17) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030657.JPEG,7,taken at the base of a small branch of a tree with a bird perched on it,0.0192,0.5406,taken(0.02) | at(0.14) | the(0.28) | base(0.08) | of(1.00) | a(0.86) | small(0.14) | branch(0.33) | of(0.19) | a(0.92) | tree(0.87) | with(0.29) | a(0.84) | bird(0.25) | perched(0.58) | on(1.00) | it(0.93) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030657.JPEG,8,a pregnant bird on a branch of a tree that's out in the snow,0.0176,0.474,a(0.04) | pregnant(0.02) | bird(0.67) | on(0.10) | a(0.76) | branch(0.54) | of(0.19) | a(0.93) | tree(0.80) | that(0.02) | '(0.04) | s(1.00) | out(0.05) | in(0.53) | the(0.96) | snow(0.41) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030657.JPEG,9,"close up of a small, dark colored bird perched on a branch",0.0194,0.575,"close(0.02) | up(0.51) | of(0.77) | a(0.79) | small(0.43) | ,(0.04) | dark(0.42) | colored(0.19) | bird(1.00) | perched(0.51) | on(1.00) | a(1.00) | branch(0.48) | [SEP](0.90)"
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030657.JPEG,10,tall dark and white bird sitting on a branch with brown background,0.0187,0.517,tall(0.02) | dark(0.13) | and(0.20) | white(0.92) | bird(1.00) | sitting(0.29) | on(1.00) | a(0.54) | branch(0.44) | with(0.24) | brown(0.13) | background(0.82) | [SEP](1.00)
